,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'HES'}),frozenset({'Finished'}),0.39396840593585447,0.7046433700335089,0.32168501675442795,0.8165249088699879,1.1587775371123672,0.04407779150905805,1.6097914335259749
1,frozenset({'Finished'}),frozenset({'HES'}),0.7046433700335089,0.39396840593585447,0.32168501675442795,0.45652173913043476,1.1587775371123672,0.04407779150905805,1.1150981330780279
2,frozenset({'HES'}),frozenset({'FQW5'}),0.39396840593585447,0.47103877453326953,0.26424126376256585,0.6707168894289187,1.4239101443262308,0.07866686862571529,1.6064025408085583
3,frozenset({'FQW5'}),frozenset({'HES'}),0.47103877453326953,0.39396840593585447,0.26424126376256585,0.5609756097560976,1.4239101443262308,0.07866686862571529,1.3804052975905539
4,frozenset({'NoRetake'}),frozenset({'HES'}),0.5165150789851604,0.39396840593585447,0.28243178554332216,0.5468025949953661,1.387935140881312,0.07894116323370656,1.3372353578634213
5,frozenset({'HES'}),frozenset({'NoRetake'}),0.39396840593585447,0.5165150789851604,0.28243178554332216,0.7168894289185905,1.387935140881312,0.07894116323370656,1.70776004289791
6,frozenset({'OES'}),frozenset({'Retake'}),0.6060315940641455,0.48348492101483964,0.3719483006223073,0.6137440758293838,1.2694172023837453,0.07894116323370659,1.337235357863421
7,frozenset({'Retake'}),frozenset({'OES'}),0.48348492101483964,0.6060315940641455,0.3719483006223073,0.7693069306930693,1.2694172023837456,0.07894116323370659,1.70776004289791
8,frozenset({'Finished'}),frozenset({'FQW5'}),0.7046433700335089,0.47103877453326953,0.47103877453326953,0.6684782608695653,1.4191576086956523,0.13912442502969236,1.5955551718996461
9,frozenset({'FQW5'}),frozenset({'Finished'}),0.47103877453326953,0.7046433700335089,0.47103877453326953,1.0,1.419157608695652,0.13912442502969236,inf
10,frozenset({'NoRetake'}),frozenset({'Finished'}),0.5165150789851604,0.7046433700335089,0.42364767831498323,0.8202038924930491,1.1639985947133014,0.05968875238575583,1.64273094708167
11,frozenset({'Finished'}),frozenset({'NoRetake'}),0.7046433700335089,0.5165150789851604,0.42364767831498323,0.6012228260869565,1.1639985947133014,0.05968875238575583,1.2124187457135331
12,frozenset({'NoRetake'}),frozenset({'FQW5'}),0.5165150789851604,0.47103877453326953,0.3379607467687889,0.6543095458758109,1.389077887535131,0.09466211693566404,1.5301586120069761
