,0,1,2,3,4,5,6
0,Term1,2013-2016,OES,Finished,HQAP50,FQW4,Retake
1,Term2,2013-2016,OES,Finished,HQAP50,FQW4,Retake
2,Term3,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
3,Term4,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
4,Term5,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
5,Term6,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
6,Term7,2013-2016,OES,Finished,HQAP50,FQW4,Retake
7,Term8,2013-2016,OES,Finished,HQAP75,FQW4,NoRetake
8,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
9,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
10,Term3,2013-2016,HES,Finished,HQAP50,FQW5,Retake
11,Term4,2013-2016,HES,Finished,HQAP50,FQW5,Retake
12,Term5,2013-2016,HES,Finished,HQAP-50,FQW5,Retake
13,Term6,2013-2016,HES,Finished,HQAP-50,FQW5,Retake
14,Term7,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
15,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
16,Term1,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
17,Term2,2013-2016,HES,Finished,HQAP50,FQW5,Retake
18,Term3,2013-2016,HES,Finished,HQAP50,FQW5,NoRetake
19,Term4,2013-2016,HES,Finished,HQAP75,FQW5,Retake
20,Term5,2013-2016,HES,Finished,HQAP-50,FQW5,Retake
21,Term6,2013-2016,HES,Finished,HQAP50,FQW5,Retake
22,Term7,2013-2016,HES,Finished,HQAP50,FQW5,Retake
23,Term8,2013-2016,HES,Finished,HQAP-50,FQW5,NoRetake
24,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
25,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
26,Term3,2013-2016,HES,Finished,HQAP50,FQW5,NoRetake
27,Term4,2013-2016,HES,Finished,HQAP-50,FQW5,Retake
28,Term5,2013-2016,HES,Finished,HQAP-50,FQW5,Retake
29,Term6,2013-2016,HES,Finished,HQAP50,FQW5,Retake
30,Term7,2013-2016,HES,Finished,HQAP50,FQW5,NoRetake
31,Term8,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
32,Term1,2013-2016,HES,Finished,HQAP85,FQW3,NoRetake
33,Term2,2013-2016,HES,Finished,HQAP50,FQW3,Retake
34,Term3,2013-2016,HES,Finished,HQAP50,FQW3,Retake
35,Term4,2013-2016,HES,Finished,HQAP50,FQW3,Retake
36,Term5,2013-2016,HES,Finished,HQAP-50,FQW3,Retake
37,Term6,2013-2016,HES,Finished,HQAP-50,FQW3,Retake
38,Term7,2013-2016,HES,Finished,HQAP-50,FQW3,Retake
39,Term8,2013-2016,HES,Finished,HQAP50,FQW3,Retake
40,Term1,2013-2016,OES,Finished,HQAP50,FQW5,Retake
41,Term2,2013-2016,OES,Finished,HQAP50,FQW5,Retake
42,Term3,2013-2016,OES,Finished,HQAP50,FQW5,Retake
43,Term4,2013-2016,OES,Finished,HQAP50,FQW5,Retake
44,Term5,2013-2016,OES,Finished,HQAP50,FQW5,Retake
45,Term6,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
46,Term7,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
47,Term8,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
48,Term1,2013-2016,OES,Finished,HQAP100,FQW5,NoRetake
49,Term2,2013-2016,OES,Finished,HQAP100,FQW5,NoRetake
50,Term3,2013-2016,OES,Finished,HQAP50,FQW5,Retake
51,Term4,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
52,Term5,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
53,Term6,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
54,Term7,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
55,Term8,2013-2016,OES,Finished,HQAP50,FQW5,Retake
56,Term1,2013-2016,OES,Finished,HQAP50,FQW4,Retake
57,Term2,2013-2016,OES,Finished,HQAP50,FQW4,Retake
58,Term3,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
59,Term4,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
60,Term5,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
61,Term6,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
62,Term7,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
63,Term8,2013-2016,OES,Finished,HQAP75,FQW4,NoRetake
64,Term1,2013-2016,HES,Finished,HQAP75,FQW4,Retake
65,Term2,2013-2016,HES,Finished,HQAP85,FQW4,Retake
66,Term3,2013-2016,HES,Finished,HQAP50,FQW4,Retake
67,Term4,2013-2016,HES,Finished,HQAP50,FQW4,Retake
68,Term5,2013-2016,HES,Finished,HQAP-50,FQW4,Retake
69,Term6,2013-2016,HES,Finished,HQAP-50,FQW4,Retake
70,Term7,2013-2016,HES,Finished,HQAP-50,FQW4,Retake
71,Term8,2013-2016,HES,Finished,HQAP75,FQW4,NoRetake
72,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
73,Term2,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
74,Term3,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
75,Term4,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
76,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
77,Term6,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
78,Term7,2013-2016,HES,Finished,HQAP50,FQW5,NoRetake
79,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
80,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
81,Term2,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
82,Term3,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
83,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
84,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
85,Term6,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
86,Term7,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
87,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
88,Term1,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
89,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
90,Term3,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
91,Term4,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
92,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
93,Term6,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
94,Term7,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
95,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
96,Term1,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
97,Term2,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
98,Term3,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
99,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
100,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
101,Term6,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
102,Term7,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
103,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
104,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
105,Term2,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
106,Term3,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
107,Term4,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
108,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
109,Term6,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
110,Term7,2013-2016,HES,Finished,HQAP50,FQW5,Retake
111,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
112,Term1,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
113,Term2,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
114,Term3,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
115,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
116,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
117,Term6,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
118,Term7,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
119,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
120,Term1,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
121,Term2,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
122,Term3,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
123,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
124,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
125,Term6,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
126,Term7,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
127,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
128,Term1,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
129,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
130,Term3,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
131,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
132,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
133,Term6,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
134,Term7,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
135,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
136,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
137,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
138,Term3,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
139,Term4,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
140,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
141,Term6,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
142,Term7,2013-2016,HES,Finished,HQAP50,FQW5,NoRetake
143,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
144,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
145,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
146,Term3,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
147,Term4,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
148,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
149,Term6,2013-2016,HES,Finished,HQAP75,FQW5,Retake
150,Term7,2013-2016,HES,Finished,HQAP50,FQW5,NoRetake
151,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
152,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
153,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
154,Term3,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
155,Term4,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
156,Term5,2013-2016,HES,Finished,HQAP50,FQW5,Retake
157,Term6,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
158,Term7,2013-2016,HES,Finished,HQAP-50,FQW5,Retake
159,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
160,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
161,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
162,Term3,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
163,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
164,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
165,Term6,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
