,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'OES'}),frozenset({'Finished'}),0.6252983293556086,0.8210023866348448,0.5441527446300716,0.8702290076335878,1.0599591691816084,0.03078132387033572,1.379334550049137
1,frozenset({'Finished'}),frozenset({'OES'}),0.8210023866348448,0.6252983293556086,0.5441527446300716,0.6627906976744186,1.0599591691816084,0.03078132387033572,1.1111842646695744
2,frozenset({'HQAP100'}),frozenset({'Finished'}),0.4964200477326969,0.8210023866348448,0.48448687350835323,0.9759615384615385,1.1887438506261183,0.07692482954642549,7.446300715990482
3,frozenset({'Finished'}),frozenset({'HQAP100'}),0.8210023866348448,0.4964200477326969,0.48448687350835323,0.5901162790697675,1.1887438506261183,0.07692482954642549,1.228592223971293
4,frozenset({'Finished'}),frozenset({'FQW5'}),0.8210023866348448,0.630071599045346,0.630071599045346,0.7674418604651163,1.2180232558139537,0.11278131247828393,1.5906921241050123
5,frozenset({'FQW5'}),frozenset({'Finished'}),0.630071599045346,0.8210023866348448,0.630071599045346,1.0,1.2180232558139537,0.11278131247828393,inf
6,frozenset({'NoRetake'}),frozenset({'Finished'}),0.7613365155131265,0.8210023866348448,0.6682577565632458,0.8777429467084639,1.0691113217175767,0.04319866029471242,1.4641086836790889
7,frozenset({'Finished'}),frozenset({'NoRetake'}),0.8210023866348448,0.7613365155131265,0.6682577565632458,0.813953488372093,1.0691113217175767,0.04319866029471242,1.282816229116945
8,frozenset({'HQAP100'}),frozenset({'NoRetake'}),0.4964200477326969,0.7613365155131265,0.49403341288782815,0.9951923076923077,1.30716481794068,0.11609070351615675,49.64200477326986
9,frozenset({'NoRetake'}),frozenset({'HQAP100'}),0.7613365155131265,0.4964200477326969,0.49403341288782815,0.6489028213166144,1.3071648179406798,0.11609070351615675,1.4343036140470506
10,frozenset({'NoRetake'}),frozenset({'FQW5'}),0.7613365155131265,0.630071599045346,0.5322195704057279,0.6990595611285265,1.1094922580032296,0.052523054664760316,1.2292412490055684
11,frozenset({'FQW5'}),frozenset({'NoRetake'}),0.630071599045346,0.7613365155131265,0.5322195704057279,0.8446969696969696,1.1094922580032296,0.052523054664760316,1.5367599976715747
12,"frozenset({'NoRetake', 'OES'})",frozenset({'Finished'}),0.45584725536992843,0.8210023866348448,0.41766109785202865,0.9162303664921466,1.1159898940703763,0.04340941325237385,2.1367840095465405
13,"frozenset({'OES', 'Finished'})",frozenset({'NoRetake'}),0.5441527446300716,0.7613365155131265,0.41766109785202865,0.7675438596491229,1.0081532200406973,0.0033777433484658004,1.0267032917548522
14,frozenset({'NoRetake'}),"frozenset({'OES', 'Finished'})",0.7613365155131265,0.5441527446300716,0.41766109785202865,0.54858934169279,1.0081532200406973,0.0033777433484658004,1.009828294881994
15,frozenset({'Finished'}),"frozenset({'NoRetake', 'OES'})",0.8210023866348448,0.45584725536992843,0.41766109785202865,0.5087209302325582,1.1159898940703763,0.04340941325237385,1.1076245216138736
16,"frozenset({'HQAP100', 'NoRetake'})",frozenset({'Finished'}),0.49403341288782815,0.8210023866348448,0.4821002386634845,0.9758454106280194,1.1886024042242447,0.07649762760521989,7.41050119331746
17,"frozenset({'HQAP100', 'Finished'})",frozenset({'NoRetake'}),0.48448687350835323,0.7613365155131265,0.4821002386634845,0.9950738916256158,1.3070092808499467,0.11324269057478598,48.44868735083537
18,"frozenset({'NoRetake', 'Finished'})",frozenset({'HQAP100'}),0.6682577565632458,0.4964200477326969,0.4821002386634845,0.7214285714285714,1.4532623626373626,0.15036369125261306,1.8077229055749342
19,frozenset({'HQAP100'}),"frozenset({'NoRetake', 'Finished'})",0.4964200477326969,0.6682577565632458,0.4821002386634845,0.9711538461538463,1.4532623626373629,0.15036369125261306,11.500397772474185
20,frozenset({'NoRetake'}),"frozenset({'HQAP100', 'Finished'})",0.7613365155131265,0.48448687350835323,0.4821002386634845,0.6332288401253918,1.3070092808499467,0.11324269057478598,1.4055443363319258
21,frozenset({'Finished'}),"frozenset({'HQAP100', 'NoRetake'})",0.8210023866348448,0.49403341288782815,0.4821002386634845,0.5872093023255814,1.1886024042242447,0.07649762760521989,1.2257218730041348
22,"frozenset({'NoRetake', 'Finished'})",frozenset({'FQW5'}),0.6682577565632458,0.630071599045346,0.5322195704057279,0.7964285714285714,1.2640286796536797,0.111169337153468,1.817192145040405
23,"frozenset({'NoRetake', 'FQW5'})",frozenset({'Finished'}),0.5322195704057279,0.8210023866348448,0.5322195704057279,1.0,1.2180232558139537,0.09526603288885349,inf
24,"frozenset({'Finished', 'FQW5'})",frozenset({'NoRetake'}),0.630071599045346,0.7613365155131265,0.5322195704057279,0.8446969696969696,1.1094922580032296,0.052523054664760316,1.5367599976715747
25,frozenset({'NoRetake'}),"frozenset({'Finished', 'FQW5'})",0.7613365155131265,0.630071599045346,0.5322195704057279,0.6990595611285265,1.1094922580032296,0.052523054664760316,1.2292412490055684
26,frozenset({'Finished'}),"frozenset({'NoRetake', 'FQW5'})",0.8210023866348448,0.5322195704057279,0.5322195704057279,0.6482558139534883,1.2180232558139534,0.09526603288885349,1.3298881634746247
27,frozenset({'FQW5'}),"frozenset({'NoRetake', 'Finished'})",0.630071599045346,0.6682577565632458,0.5322195704057279,0.8446969696969696,1.2640286796536795,0.111169337153468,2.1360963967634894
